run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,none,default,False,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,0,0,0,0,n/a,n/a,8,8.0,0.02,5,2,1,0,0,False
run2,NM,county,labeling,True,none,default,False,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.17,60,3,0,0,0,0,n/a,n/a,17,17.0,0.16,5,2,92,0,0,True
run3,ID,county,labeling,True,none,default,False,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,0,0,0,0,n/a,n/a,10,10.0,0.02,5,2,1,0,0,True
run4,WV,county,labeling,True,none,default,False,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.72,60,3,0,0,0,0,n/a,n/a,20,20.0,1.77,5,2,6101,0,0,False
run5,LA,county,labeling,True,none,default,False,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.41,60,15,0,0,0,0,n/a,n/a,50,20.0,5.16,5,9,307,0,0,False
run6,AL,county,labeling,True,none,default,False,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.03,60,21,0,0,0,0,n/a,n/a,55,24.0,5.05,5,9,236,0,0,True
run7,AR,county,labeling,True,none,default,False,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.78,60,6,0,0,0,0,n/a,n/a,33,16.0,5.17,5,9,1687,0,0,True
run8,OK,county,labeling,True,none,default,False,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.63,60,10,0,0,0,0,n/a,n/a,40,24.0,5.00,5,9,1031,0,0,True
run9,MS,county,labeling,True,none,default,False,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.07,60,6,0,0,0,0,n/a,n/a,34,14.0,5.04,5,9,1627,0,0,True
run10,NE,county,labeling,True,none,default,False,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.31,60,3,0,0,0,0,n/a,n/a,19,19.0,1.64,5,2,706,0,0,True
run11,IA,county,labeling,True,none,default,False,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.06,60,6,0,0,0,0,n/a,n/a,33,15.0,5.00,5,9,1413,0,0,True
run12,KS,county,labeling,True,none,default,False,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.55,60,6,0,0,0,0,n/a,n/a,32,18.0,5.11,5,9,943,0,0,True
run13,NH,tract,labeling,True,none,default,False,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.44,60,1,0,0,0,0,n/a,n/a,26,26.0,3.13,5,2,3350,0,0,True
run14,ID,tract,labeling,True,none,default,False,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.55,60,1,0,0,0,0,n/a,n/a,16,16.0,0.81,5,2,361,0,0,False
run15,ME,tract,labeling,True,none,default,False,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.31,60,1,0,0,0,0,n/a,n/a,20,20.0,0.81,5,2,123,0,0,True
run16,WV,tract,labeling,True,none,default,False,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.11,60,3,0,0,0,0,n/a,n/a,44,14.0,5.11,5,9,44,0,0,True
run17,NM,tract,labeling,True,none,default,False,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.05,60,3,0,0,0,0,n/a,n/a,46,20.0,5.02,5,9,60,0,0,True
run18,NE,tract,labeling,True,none,default,False,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.08,60,3,0,0,0,0,n/a,n/a,48,13.0,5.02,5,9,25,0,0,True
run19,UT,tract,labeling,True,none,default,False,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.03,60,6,0,0,0,0,n/a,n/a,90,16.0,5.67,5,9,1,0,0,True
run20,MS,tract,labeling,True,none,default,False,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.15,60,6,0,0,0,0,n/a,n/a,68,13.0,5.14,5,9,1,0,0,True
run21,AR,tract,labeling,True,none,default,False,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.04,60,6,0,0,0,0,n/a,n/a,78,9.0,5.98,5,9,1,0,0,True
run22,NV,tract,labeling,True,none,default,False,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,653,60.17,60,6,0,0,0,0,n/a,n/a,89,15.0,5.08,5,9,1,0,0,True
