run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,none,default,False,B_decreasing,False,True,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,0,0,0,0,2.71,0.00,8,8.0,0.02,3600,2,1,0,0,False
run2,NM,county,labeling,True,none,default,False,B_decreasing,True,True,3,682962,689824,33,78,17,158.72,10000,3,28,0.16,60,3,0,0,0,0,5.75,0.02,17,17.0,0.14,3600,2,92,0,0,True
run3,ID,county,labeling,True,none,default,False,B_decreasing,True,True,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,0,0,0,0,3.32,0.02,10,10.0,0.03,3600,2,1,0,0,True
run4,WV,county,labeling,True,none,default,False,B_decreasing,True,True,3,614577,620752,55,125,23,794.37,10000,3,48,3.81,60,3,0,0,0,0,5.55,0.02,20,20.0,1.77,3600,2,6101,0,0,False
run5,LA,county,labeling,True,none,default,False,B_decreasing,False,True,6,751785,759339,64,160,n/a,n/a,n/a,6,53,31.09,60,15,0,0,0,0,5.49,0.08,44,36.0,3600.09,3600,9,2158617,0,0,False
run6,AL,county,labeling,True,none,default,False,B_decreasing,True,True,7,679406,686233,67,171,55,275.48,10000,7,52,60.07,60,21,0,0,0,0,11.56,0.09,52,42.0,3600.07,3600,9,1515101,0,0,False
run7,AR,county,labeling,True,none,default,False,B_decreasing,True,True,4,725335,732624,75,192,33,420.52,10000,4,64,24.05,60,6,0,0,0,0,5.69,0.03,32,32.0,353.21,3600,2,426704,0,0,False
run8,OK,county,labeling,True,none,default,False,B_decreasing,True,True,5,746519,754021,77,195,40,379.33,10000,5,64,20.75,60,10,0,0,0,0,13.95,0.06,39,39.0,108.74,3600,2,83723,0,0,False
run9,MS,county,labeling,True,none,default,False,B_decreasing,True,True,4,738116,745533,82,202,34,546.18,10000,4,69,60.09,60,6,0,0,0,0,6.46,0.06,32,32.0,365.17,3600,2,488879,0,0,False
run10,NE,county,labeling,True,none,default,False,B_decreasing,True,True,3,605737,611824,93,231,19,278.07,10000,3,86,2.41,60,3,0,0,0,0,3.87,0.02,19,19.0,1.62,3600,2,706,0,0,True
run11,IA,county,labeling,True,none,default,False,B_decreasing,True,True,4,757781,765396,99,222,33,560.04,10000,4,85,60.05,60,6,0,0,0,0,5.36,0.06,33,33.0,262.03,3600,2,228583,0,0,True
run12,KS,county,labeling,True,none,default,False,B_decreasing,True,True,4,709714,716845,105,263,32,1281.95,10000,4,95,12.56,60,6,0,0,0,0,7.91,0.06,31,31.0,136.01,3600,2,103634,0,0,False
run13,NH,tract,labeling,True,none,default,False,B_decreasing,True,True,2,654944,661526,295,786,27,1380.69,10000,2,283,7.53,60,1,0,0,0,0,3.50,0.02,26,26.0,3.24,3600,2,3350,0,0,True
run14,ID,tract,labeling,True,none,default,False,B_decreasing,True,True,2,779873,787709,298,792,17,2836.42,10000,2,291,2.53,60,1,0,0,0,0,2.27,0.05,16,16.0,1.47,3600,2,638,0,0,False
run15,ME,tract,labeling,True,none,default,False,B_decreasing,True,True,2,660860,667501,358,999,20,2453.25,10000,2,349,3.26,60,1,0,0,0,0,4.00,0.06,20,20.0,0.80,3600,2,123,0,0,True
run16,WV,tract,labeling,True,none,default,False,B_decreasing,True,True,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.13,60,3,0,0,0,0,5.74,0.28,42,42.0,579.40,3600,2,72476,0,0,False
run17,NM,tract,labeling,True,none,default,False,B_decreasing,True,True,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.03,60,3,0,0,0,0,7.02,0.51,43,43.0,213.15,3600,2,23006,0,0,True
run18,NE,tract,labeling,True,none,default,False,B_decreasing,True,True,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.09,60,3,0,0,0,0,3.67,0.47,44,44.0,3584.86,3600,2,477860,0,0,True
run19,UT,tract,labeling,True,none,default,False,B_decreasing,True,True,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.02,60,6,0,0,0,0,10.37,1.14,75,37.0,3600.17,3600,9,32365,0,0,False
run20,MS,tract,labeling,True,none,default,False,B_decreasing,True,True,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.11,60,6,0,0,0,0,7.85,1.28,63,28.0,3601.74,3600,9,32379,0,0,True
run21,AR,tract,labeling,True,none,default,False,B_decreasing,True,True,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.05,60,6,0,0,0,0,4.60,1.47,69,27.0,3600.19,3600,9,17974,0,0,False
run22,NV,tract,labeling,True,none,default,False,B_decreasing,True,True,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.13,60,6,0,0,0,0,9.94,1.50,71,39.0,3600.19,3600,9,19456,0,0,False
